"cell_id","Bat_species","Sex","Lat_c","Long_c","FAL_mean","wFAL_mean","FAL_n","wFAL_n","fal","Tmax","Summer_precipitation","Tmin"
55638,"Myotis alcathoe","female",42.4598405674845,2.95568178705323,32.0823529411765,32.0823529411765,17,17,32,26.960693359375,1148.11401367188,1.96042480468753
55638,"Myotis alcathoe","male",42.4598405674845,2.95568178705323,31.3153846153846,31.3153846153846,13,13,32,26.960693359375,1148.11401367188,1.96042480468753
55638,"Myotis emarginatus","female",42.4598405674845,2.95568178705323,40.4636363636364,40.4636363636364,11,11,40.4,26.960693359375,1148.11401367188,1.96042480468753
55638,"Myotis escalerai","male",42.4598405674845,2.95568178705323,39.8,39.8,1,1,39.5,26.960693359375,1148.11401367188,1.96042480468753
55638,"Pipistrellus pipistrellus","female",42.4598405674845,2.95568178705323,31.2375,31.2375,40,40,30.5,26.960693359375,1148.11401367188,1.96042480468753
55638,"Pipistrellus pipistrellus","male",42.4598405674845,2.95568178705323,29.9416666666667,29.9416666666667,48,48,30.5,26.960693359375,1148.11401367188,1.96042480468753
55638,"Plecotus austriacus","female",42.4598405674845,2.95568178705323,40.9,40.9,1,1,40,26.960693359375,1148.11401367188,1.96042480468753
55638,"Plecotus austriacus","male",42.4598405674845,2.95568178705323,39.375,39.375,4,4,40,26.960693359375,1148.11401367188,1.96042480468753
55638,"Rhinolophus euryale","female",42.4598405674845,2.95568178705323,48.26,48.26,5,5,46,26.960693359375,1148.11401367188,1.96042480468753
55638,"Rhinolophus euryale","male",42.4598405674845,2.95568178705323,48.275,48.275,8,8,46,26.960693359375,1148.11401367188,1.96042480468753
55638,"Rhinolophus ferrumequinum","female",42.4598405674845,2.95568178705323,55.55,55.55,2,2,58.4,26.960693359375,1148.11401367188,1.96042480468753
55638,"Rhinolophus ferrumequinum","male",42.4598405674845,2.95568178705323,55.9,55.9,2,2,58.4,26.960693359375,1148.11401367188,1.96042480468753
55639,"Myotis alcathoe","male",42.471808310657,3.06614593960323,31.8,31.8,1,1,32,26.5822509765625,1004.41937255859,3.43007812500002
55639,"Pipistrellus kuhlii","female",42.471808310657,3.06614593960323,34.4,34.4,1,1,33.8,26.5822509765625,1004.41937255859,3.43007812500002
55639,"Pipistrellus kuhlii","male",42.471808310657,3.06614593960323,33.3,33.3,1,1,33.8,26.5822509765625,1004.41937255859,3.43007812500002
55639,"Pipistrellus pipistrellus","female",42.471808310657,3.06614593960323,30.625,30.625,4,4,30.5,26.5822509765625,1004.41937255859,3.43007812500002
55639,"Pipistrellus pipistrellus","male",42.471808310657,3.06614593960323,30.8,30.8,1,1,30.5,26.5822509765625,1004.41937255859,3.43007812500002
55661,"Hypsugo savii","male",42.8403913355474,10.4322928730449,32.8,32.8,1,1,34.5,25.046337890625,1171.28234863281,9.47507324218753
55759,"Hypsugo savii","male",41.498626103709,23.0937875337922,34.5,34.5,1,1,34.5,26.2836181640625,1171.19458007812,-3.7884521484375
55763,"Eptesicus serotinus","male",41.4077066190284,23.518525155204,50.3,50.3,1,1,53,24.886328125,1245.11730957031,-4.77348632812499
56049,"Barbastella barbastellus","female",40.458200129283,-7.63696241028431,39.7,39.7,1,1,39,26.5230224609375,922.189025878906,1.4593505859375
56049,"Pipistrellus kuhlii","female",40.458200129283,-7.63696241028431,35.2,35.2,1,1,33.8,26.5230224609375,922.189025878906,1.4593505859375
56088,"Myotis escalerai","male",41.497034989801,-3.57472817172699,38.61,38.61,1,1,39.5,27.566259765625,834.426147460938,-0.587646484375
56102,"Myotis escalerai","male",41.8037694071228,-2.07952987231912,38.78,38.78,5,5,39.5,25.780419921875,1026.27868652344,-0.713549804687489
56102,"Plecotus austriacus","female",41.8037694071228,-2.07952987231912,40.3,40.3,4,4,40,25.780419921875,1026.27868652344,-0.713549804687489
56129,"Barbastella barbastellus","female",42.2939149885637,0.85013428942425,41.5,41.5,1,1,39,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Barbastella barbastellus","male",42.2939149885637,0.85013428942425,40.3,40.3,1,1,39,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Eptesicus serotinus","male",42.2939149885637,0.85013428942425,51.8,51.8,1,1,53,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Hypsugo savii","female",42.2939149885637,0.85013428942425,35.3,35.3,3,3,34.5,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Hypsugo savii","male",42.2939149885637,0.85013428942425,33.2333333333333,33.2333333333333,3,3,34.5,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Myotis crypticus","female",42.2939149885637,0.85013428942425,40.6,40.6,1,1,39.3,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Myotis escalerai","female",42.2939149885637,0.85013428942425,41.3,41.3,2,2,39.5,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Myotis escalerai","male",42.2939149885637,0.85013428942425,39.4,39.4,1,1,39.5,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Pipistrellus kuhlii","female",42.2939149885637,0.85013428942425,35.2666666666667,35.2666666666667,3,3,33.8,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Pipistrellus kuhlii","male",42.2939149885637,0.85013428942425,34.5,34.5,2,2,33.8,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Pipistrellus pipistrellus","female",42.2939149885637,0.85013428942425,31.85,31.85,10,10,30.5,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Pipistrellus pipistrellus","male",42.2939149885637,0.85013428942425,30.5117647058824,30.5117647058824,17,17,30.5,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Plecotus auritus","female",42.2939149885637,0.85013428942425,41.12,41.12,10,10,39,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Plecotus auritus","male",42.2939149885637,0.85013428942425,40.15,40.15,2,2,39,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Plecotus austriacus","female",42.2939149885637,0.85013428942425,40.4,40.4,1,1,40,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Plecotus austriacus","male",42.2939149885637,0.85013428942425,40.2,40.2,1,1,40,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Rhinolophus euryale","male",42.2939149885637,0.85013428942425,48.25,48.25,2,2,46,25.03837890625,1826.8642578125,-2.90810546874997
56129,"Rhinolophus ferrumequinum","male",42.2939149885637,0.85013428942425,55.7,55.7,2,2,58.4,25.03837890625,1826.8642578125,-2.90810546874997
